source_run,latitude,longitude,address,heading,filename,tent_prediction_count,max_conf,classes_seen
api_test_workflow_v2_5pct_2026-04-25,34.0716085614,-118.366006828,"309 S CRESCENT HEIGHTS BLVD, 90048",0,34.0716085614_-118.366006828_0.jpg,1,0.8944,tent
api_test_workflow_v2_5pct_2026-04-25,34.0497227559,-118.437993969,"10885 W SANTA MONICA BLVD, 90025",0,34.0497227559_-118.437993969_0.jpg,1,0.6611,tent
api_test_workflow_v2_5pct_2026-04-25,34.0561492891,-118.294322227,"863 S BERENDO ST, 90005",0,34.0561492891_-118.294322227_0.jpg,1,0.6871,tent
api_test_workflow_v2_5pct_2026-04-25,34.0642251574,-118.248871436,"511 N CUSTER AVE, 90012",270,34.0642251574_-118.248871436_270.jpg,1,0.7045,tent
api_test_workflow_v2_5pct_2026-04-25,33.9248239155,-118.254012511,"1200 E 119TH ST, 90059",0,33.9248239155_-118.254012511_0.jpg,1,0.7386,tent
api_test_workflow_v2_5pct_2026-04-25,34.2187915874,-118.390828785,"8145 N WEBB AVE, 91605",90,34.2187915874_-118.390828785_90.jpg,1,0.7542,tent
api_test_workflow_v2_5pct_2026-04-25,34.003159179,-118.265051148,"4424 S AVALON BLVD, 90011",0,34.003159179_-118.265051148_0.jpg,1,0.8465,tent
api_test_workflow_v2_5pct_2026-04-25,34.003159179,-118.265051148,"4424 S AVALON BLVD, 90011",90,34.003159179_-118.265051148_90.jpg,1,0.791,tent
api_test_workflow_v2_5pct_2026-04-25,34.0692790074,-118.281083997,"2ND ST AT OCCIDENTAL BLVD, 90057",0,34.0692790074_-118.281083997_0.jpg,1,0.7704,tent
api_test_workflow_v2_5pct_2026-04-25,34.0568843005,-118.239451437,"535 N NORTH MAIN ST, 90012",0,34.0568843005_-118.239451437_0.jpg,2,0.7684,tent
api_test_workflow_v2_5pct_2026-04-25,34.0515888001,-118.274560909,"1703 W JAMES M. WOOD BLVD, 90015",270,34.0515888001_-118.274560909_270.jpg,1,0.7004,tent
api_test_workflow_v2_5pct_2026-04-25,34.0283112081,-118.24942819,"1140 E 14TH PL, 90021",0,34.0283112081_-118.24942819_0.jpg,1,0.7638,tent
api_test_workflow_v2_5pct_2026-04-25,34.0401940472,-118.286277515,"1389 W WASHINGTON BLVD, 90007",0,34.0401940472_-118.286277515_0.jpg,1,0.7832,tent
api_test_workflow_v2_5pct_2026-04-25,34.0493986201,-118.267655965,"1180 W 8TH PL, 90017",270,34.0493986201_-118.267655965_270.jpg,1,0.8229,tent
api_test_workflow_v2_5pct_2026-04-25,34.005483977,-118.278900347,"308 W 43RD ST, 90037",180,34.005483977_-118.278900347_180.jpg,1,0.6543,tent
api_test_workflow_v2_5pct_2026-04-25,34.0372571592,-118.240244449,"1313 E INDUSTRIAL ST, 90021",0,34.0372571592_-118.240244449_0.jpg,1,0.8034,tent
api_test_workflow_v2_5pct_2026-04-25,34.0372571592,-118.240244449,"1313 E INDUSTRIAL ST, 90021",90,34.0372571592_-118.240244449_90.jpg,1,0.6623,tent
api_test_workflow_v2_5pct_2026-04-25,33.9738299354,-118.283272683,"7225 S FIGUEROA ST, 90003",90,33.9738299354_-118.283272683_90.jpg,2,0.7916,tent
api_test_workflow_v2_5pct_2026-04-25,34.0384260609,-118.266642736,"1341 S HOPE ST, 90015",270,34.0384260609_-118.266642736_270.jpg,1,0.6248,tent
api_test_workflow_v2_5pct_2026-04-25,34.0863569438,-118.190924902,"3517 N MCKENZIE AVE, 90032",90,34.0863569438_-118.190924902_90.jpg,1,0.693,tent
api_test_workflow_v2_5pct_2026-04-25,34.1555455381,-118.370258998,"VINELAND AVE AT KLING ST, 91602",0,34.1555455381_-118.370258998_0.jpg,1,0.7756,tent
api_test_workflow_v2_5pct_2026-04-25,34.0699265486,-118.27277209,"212 N PARK VIEW ST, 90026",180,34.0699265486_-118.27277209_180.jpg,1,0.8591,tent
api_test_workflow_v2_5pct_2026-04-25,34.0685515487,-118.296521198,"310 S KENMORE AVE, 90020",180,34.0685515487_-118.296521198_180.jpg,1,0.8713,tent
api_test_workflow_v2_5pct_2026-04-25,34.0685515487,-118.296521198,"310 S KENMORE AVE, 90020",270,34.0685515487_-118.296521198_270.jpg,1,0.6211,tent
